State,Notes,Program Name,Plan Name,Geographic Region,Medicaid-Only Enrollment ,Dual Enrollment,Total Enrollment,Year,Location,Parent Organization
Texas,,Medical Transportation Program (Non-Emergency Medical Transportation),American Medical Response,"Rown, Callahan, Coke, Coleman, Comanche, Concho, Crockett, Dimmit, Eastland, Edwards, Fisher, Haskell, Irion, Jones, Kent, Kimble, Kinney, Knox, La Salle, Maverick, Mcculloch, Menard, Mitchell, Nolan, Reagan, Real, Runnels, Schleicher, Scurry, Shackelford, Stephens, Sterling, Stonewall, Sutton, Taylor, Throckmorton, Tom Green, Uvalde, Val Verde, Zavala",95837,15218,111055,2017,"Texas
(31.447238, -99.317341)",American Medical Response
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Colusa,Colusa County,2502,51,2553,2017,"California
(37.211164, -119.662127)",Centene Corporation
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Centra Pace Lynchburg,"24501, 24502, 24503, 24504, 24521, 24522, 24536, 24538, 24550, 24551, 24554, 24556, 24572, 24574, 24588, 24593",5,99,104,2017,"Virginia
(37.510861, -78.666382)",Centra Health
Minnesota,,Prepaid Medical Assistance Plan Plus (PMAP+) (Comprehensive MCO + MLTSS),Itasca Medical Care,Itasca County,7342,0,7342,2017,"Minnesota
(46.349153, -94.198308)",Itasca Medical Care
Maryland,,HealthChoice (Comprehensive MCO),MedStar Family Choice,"Baltimore City, Anne Arundel, Baltimore Charles Harford, Montgomery, Prince George's and St. Mary's counties.",86345,0,86345,2017,"Maryland
(38.946466, -76.687282)",MedStar Health
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Yuba,Yuba County,16436,413,16849,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),"A & D Home Health Care, Inc.","Bay, Clare, Gladwin, Huron, Isabella, Midland, Saginaw, Sanilac, Tuscola",89,785,874,2017,"Michigan
(44.874798, -85.730977)","A & D Home Health Care, Inc."
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),Ohana Community Care Service (BHS),Statewide,4918,0,4918,2017,"Hawaii
(21.361013, -157.854309)",Wellcare Inc.
Michigan,,MI Choice (MLTSS only (PIHP and/or PAHP)),Senior Services Inc.,"Barry, Branch, Calhoun, Kalamazoo",21,238,259,2017,"Michigan
(44.874798, -85.730977)",Senior Services Inc
California,,Dental Managed Care/Los Angeles (Dental only (PAHP)),Health Net Dental Plan/Los Angeles,Los Angeles County,189578,13950,203528,2017,"California
(37.211164, -119.662127)",Health Net
Utah,,UNI HOME (Comprehensive MCO),HOME,Statewide,702,450,1152,2017,"Utah
(39.323779, -111.678222)",University of Utah Health Plans
Massachusetts,,Program of All-Inclusive Care for the Elderly (PACE) (Program of All-inclusive Care for the Elderly (PACE)),Elder Service Plan of Harbor Health,"02108, 02445, 02021, 02026 ,02048 ,02062 ,02067, 02072, 02169, 02184, 02186, 02188, 02301, 02322, 02324, 02333, 02334, 02338, 02339 ,02341 ,02343, 02351, 02359, 02367, 02368, 02370, 02379, 02382, 02458, 02766, 02767, 02780",17,440,457,2017,"Massachusetts
(42.151077, -71.481104)",Elder Service Plan of Harbor Health
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Simply Healthcare Plans, Inc.",Region 11,72942,8342,81284,2017,"Florida
(28.260731, -82.420978)","Anthem, Inc."
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Mariposa,Mariposa County,802,29,831,2017,"California
(37.211164, -119.662127)",Centene Corporation
Michigan,,Managed Care Plan Division (Comprehensive MCO),Total Health Care,"Macomb, Oakland, Wayne",54528,326,54854,2017,"Michigan
(44.874798, -85.730977)",Total Health Care
Missouri,,MO Healthnet Managed Care/1915b (Comprehensive MCO),United Healthcare Southwest,"Barry, Barton, Christian, Dade, Dallas, Douglas, Greene, Hickory, Howell, Jasper, Lawrence, McDonald, Newton, Oregon, Ozark, Shannon, Stone, Taney, Texas, Webster, and Wright",35728,0,35728,2017,"Missouri
(38.3675, -92.477244)",United Healthcare
Michigan,,Managed Care Plan Division (Comprehensive MCO),Upper Peninsula Heatlh Plan,"Alger, Baraga, Chippewa, Delta, Dickinson, Gogebic , Houghton, Iron, Keweenaw, Luce, Mackinac, Marquette, Menominee, Ontonagon, Schoolcraft.",45136,54,45190,2017,"Michigan
(44.874798, -85.730977)",Upper Peninsula Health Plan
Virginia,,Medallion 3.0 (Comprehensive MCO),Aetna Better Health of Virginia,"State Defined Regions of Central Virginia, Halifax, Lower Southwest, and Far Southwest",39690,0,39690,2017,"Virginia
(37.510861, -78.666382)",Aetna
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Plumas,Plumas County,2565,114,2679,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Texas,,STAR (Comprehensive MCO),Community Health Choice,"Harris SDA, Jefferson SDA",246893,0,246893,2017,"Texas
(31.447238, -99.317341)",Community Health Choice
Florida,,Managed Medical Assistance Program (Comprehensive MCO),Community Care Plan,Region 10,43184,1582,44766,2017,"Florida
(28.260731, -82.420978)",South Florida Community Care Network
Louisiana,,Healthy Louisiana (Comprehensive MCO),AmeriHealth Caritas,Statewide,194416,110,194526,2017,"Louisiana
(30.921314, -91.840238)",Amerihealth Caritas
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),Willamette Valley Community Health,"Benton (97361 only), Clackamas (97002, 97032, 97071, 97362, 97375 only), Linn (97346, 97350, 97352, 97358, 97360, 97383 only), Marion, Polk, and Yamhill (97304 only)",90042,4533,94575,2017,"Oregon
(43.940449, -120.605279)",Willamette Valley Community Health
Michigan,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,Specialty Prepaid Inpatient Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Macomb County CMH Services,Macomb,180285,0,180285,2017,"Michigan
(44.874798, -85.730977)",Macomb County CMH Services
Puerto Rico,,Government Health Plan (Comprehensive MCO),First Medical Plan Inc.,"North, San Juan, Children in foster care or receiving adoption assistance (statewide)",237399,18896,256295,2017,"Puerto Rico
(18.215692, -66.414655)",First Medical Plan Inc.
Oklahoma,,SoonerCare Choice (Primary Care Case Management (PCCM)),Multiple Primary Care Providers,Statewide,538738,0,538738,2017,"Oklahoma
(35.583449, -97.508297)",Multiple Primary Care Providers
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Tehama,Tehama County,9238,259,9497,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),Senior LIFE Greensburg - H-2937,Westmoreland county,6,184,190,2017,"Pennsylvania
(40.896694, -77.838886)",Senior LIFE
Texas,,STAR+PLUS (Comprehensive MCO + MLTSS),Molina Healthcare of Texas,"Bexar SDA, Dallas SDA, El Paso SDA, Harris SDA, Hidalgo SDA, Jefferson SDA",87652,11677,99329,2017,"Texas
(31.447238, -99.317341)",Molina Healthcare of Texas
California,,Regional Model (Comprehensive MCO),Anthem Blue Cross Partnership Plan/Amador,Amador County,5215,188,5403,2017,"California
(37.211164, -119.662127)","Anthem Insurance Companies, Inc."
Illinois,,Integrated Care Program (Comprehensive MCO + MLTSS),Cigna-HealthSpring,"Lake, Cook, DuPage, Kane, Will and Kankakee counties",4565,0,4565,2017,"Illinois
(40.124144, -89.148632)",Cigna
Virginia,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Riverside PACE McTavish,"23112, 23113, 23114, 23120, 23124, 23129, 23139, 23140, 23141, 23146, 23173, 23181, 23221, 23224, 23225, 23226, 23227, 23228, 23231, 23232, 23234, 23235, 23236, 23237, 23238, 23240, 23241, 23249, 23260, 23261, 23269, 23273, 23274, 23276, 23278, 23279, 23282, 23284, 23285, 23286, 23289, 23290, 23291,23293, 23295, 22546, 23005, 23009, 23011, 23015, 23030, 23039, 23047, 23058, 23059, 23060, 23069, 23075, 23086, 23089, 23102, 23103, 23106, 23111, 23116, 23150, 23162, 23192, 23218, 23219, 23220, 23222, 23223, 23229, 23230, 23233, 23242, 23250, 23255, 23288, 23801, 23803, 23804, 23805, 23806,23830, 23831, 23832, 23833, 23834, 23836, 23838, 23840, 23841, 23842, 23850 ,23860, 23875, 23882, 23885",18,204,222,2017,"Virginia
(37.510861, -78.666382)",Riverside Health Systems
Puerto Rico,,Medicare Platino (Comprehensive MCO),"MMM Health Care, Inc.",statewide,0,70571,70571,2017,"Puerto Rico
(18.215692, -66.414655)","MMM Health Care, Inc."
Texas,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Bienvivir Senior Health Services (El Paso),"79901, 79902, 79903, 79904, 79905, 79907, 79915, 79924, 79925, 79930, 79935, 79936",26,898,924,2017,"Texas
(31.447238, -99.317341)",Bienvivir
Michigan,Michigan is not able to provide dual-eligible enrollment for the Specialty Prepaid Inpatient Health plan.,Specialty Prepaid Inpatient Health Plan (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Northcare Network,"Alger, Baraga, Chippewa, Delta, Dickinson, Gogebic, Houghton, Iron, Luce, Mackinac, Marquette, Menominee, Ontonagon, Schoolcraft",63993,0,63993,2017,"Michigan
(44.874798, -85.730977)",Northcare Network
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Alpine,Alpine County,99,2,101,2017,"California
(37.211164, -119.662127)",Centene Corporation
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Senior Community Care,"Barry, Clinton, Eaton, Ingham, Ionia, Livingston, Shiawassee.",10,140,150,2017,"Michigan
(44.874798, -85.730977)","A separately incorporated partnership of Volunteers of America, Ingham County Medical Care Facility and United Methodist Retirement Communities"
Utah,,Dental (Dental only (PAHP)),Premier Access,"Salt Lake, Weber, Davis, and Utah counties",69038,36,69074,2017,"Utah
(39.323779, -111.678222)",Avesis Incorporated
Maryland,,HealthChoice (Comprehensive MCO),Kaiser Permanente,"Baltimore City, Anne Arundel, Baltimore, Calvert, Charles, Harford, Howard and  Montgomery counties",60140,0,60140,2017,"Maryland
(38.946466, -76.687282)",Kaser Permante of the Mid Atlantic States
New York,,Health and Recovery Plans (Comprehensive MCO),HealthFirst,"New York City & Nassau, Suffolk counties",20193,0,20193,2017,"New York
(42.921241, -75.59655)",HealthFirst
New York,,Health and Recovery Plans (Comprehensive MCO),United HealthCare,New York City & 41 counties,5345,0,5345,2017,"New York
(42.921241, -75.59655)",United Health Group
California,,Regional Model (Comprehensive MCO),California Health & Wellness/Amador,Amador County,974,26,1000,2017,"California
(37.211164, -119.662127)",Centene Corporation
Florida,,Managed Medical Assistance Program (Comprehensive MCO),Clear Health Alliance,"Regions 1, 2, 3, 5, 6, 7, 8, 9, 10, and 11",6402,2976,9378,2017,"Florida
(28.260731, -82.420978)","Anthem, Inc."
Arizona,,Arizona Health Care Cost Containment System (Comprehensive MCO + MLTSS),Mercy Care Plan,Maricopa & Pima Counties,353646,20173,373819,2017,"Arizona
(34.293239, -111.664616)",Dignity Health and Carondelet Health Network
New Jersey,,NJ FamilyCare (Comprehensive MCO + MLTSS),Amerigroup New Jersey,Statewide except Salem county,161810,18187,179997,2017,"New Jersey
(40.110253, -74.655514)",Anthem
Louisiana,,Healthy Louisiana (Comprehensive MCO),Louisiana Healthcare Connections,Statewide,459279,179,459458,2017,"Louisiana
(30.921314, -91.840238)",Centene
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Thome PACE,"Hillsdale, Jackson, Lenawee.",3,59,62,2017,"Michigan
(44.874798, -85.730977)",80% ownership by United Methodist Retirement Communities; 20% ownership by Region 2 Area Agency of Aging
Texas,,STAR (Comprehensive MCO),El Paso First,El Paso SDA,65988,0,65988,2017,"Texas
(31.447238, -99.317341)",El Paso First
Georgia,,Georgia Families (Comprehensive MCO),Peach State Health Plan,Statewide,301276,0,301276,2017,"Georgia
(32.638481, -83.426574)",Centene Corporation
New York,,Managed Long Term Care (MLTSS only (PIHP and/or PAHP)),ElderPlan,"New York City & Dutchess, Nassau, Orange, Putnam, Rockland, Suffolk, Sullivan, Ulster, Westchester counties",917,11554,12471,2017,"New York
(42.921241, -75.59655)",ElderPlan
Washington,"Washington is unable to provide separate counts of Medicaid-only and dual enrollment for their NEMT, ICMH, and PACE programs. As a result, total enrollment counts presented in this table include both Medicaid-only and Medicare-Medicaid beneficiaries.","Apple Health (Program includes, AHAC, CHIP,HOFC, HO) (Comprehensive MCO)",Coordinated Care of Washington,"Adams, Asotin, Benton, Chelan,  Columbia,  Douglas,  Franklin,  Grant, Island, Jefferson, King, Kitsap, Kittitas,  Lewis, Lincoln, Mason, Okanogan, Pacific,  Pierce, San Juan, Skagit,  Snohomish, Spokane, Stevens, Thurston, Wahkiakum, Walla Walla, Whatcom, Whitman, Yakima.",193164,0,193164,2017,"Washington
(47.411715, -120.592492)",Coordinated Care of Washington
Florida,,Managed Medical Assistance Program (Comprehensive MCO),Staywell,"Regions 2, 3, 4, 5, 6, 7, 8, and 11",640745,20251,660996,2017,"Florida
(28.260731, -82.420978)",Wellcare Health Plan of Florida
Michigan,,PACE (Program of All-inclusive Care for the Elderly (PACE)),PACE of Southeast MI,"Macomb, Oakland, Wayne.",33,598,631,2017,"Michigan
(44.874798, -85.730977)",Henry Ford Health and Presbyterian
West Virginia,,Mountain Health Trust (Comprehensive MCO),WV Family Health,statewide,69911,0,69911,2017,"West Virginia
(38.642579, -80.613729)",WV Family Health/Highmark
Utah,,Prepaid Mental Health (Behavioral Health Organization (BHO) only (PIHP and/or PAHP)),Davis Behavioral Health,Davis county,21227,1866,23093,2017,"Utah
(39.323779, -111.678222)",Davis Behavioral Health
Mississippi,,Mississippi Coordinated Access Network (Comprehensive MCO),Magnolia Health,Statewide,250836,0,250836,2017,"Mississippi
(32.713378, -89.65344)",Centene
New Jersey,,PACE (Program of All-inclusive Care for the Elderly (PACE)),Inspira LIFE,"08028, 08062, 08071, 08094, 08098, 08302, 08311, 08312, 08314, 08316, 08318, 08321, 08322, 08323, 08324, 08327, 08328, 08329, 08332, 08343, 08344, 08345, 08348, 08349, 08352, 08353, 08360, 08361, 08362",26,219,245,2017,"New Jersey
(40.110253, -74.655514)",Inspira
Florida,,Managed Medical Assistance Program (Comprehensive MCO),"Sunshine State Health Plan, Inc.",Statewide,32186,0,32186,2017,"Florida
(28.260731, -82.420978)",Centene
Pennsylvania,,PA Living Independence for the Elderly (LIFE) (Program of All-inclusive Care for the Elderly (PACE)),VieCare Butler H-3060,Butler county,8,180,188,2017,"Pennsylvania
(40.896694, -77.838886)",Lutheran SeniorLife
New York,,Medicaid Managed Care (Comprehensive MCO + MLTSS),Excellus,"Broome, Herkimer, Livingston, Monroe, Oneida, Ontario, Orleans, Otsego, Seneca, Wayne, Yates counties",168086,0,168086,2017,"New York
(42.921241, -75.59655)",Blue Cross Blue Shield
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),FamilyCare,"Clackamas, Marion (97002, 97032, 97071, 97362, 97375, 97381 only), Multnomah, and Washington Counties",112043,2583,114626,2017,"Oregon
(43.940449, -120.605279)",FamilyCare
Texas,,STAR (Comprehensive MCO),Cook Children's Health Plan,Tarrant SDA,104588,0,104588,2017,"Texas
(31.447238, -99.317341)",Cook Children's Health Plan
New York,,Medicaid Advantage (Comprehensive MCO),Liberty Health Advantage,New York City & Nassau County,117,44,161,2017,"New York
(42.921241, -75.59655)",Liberty Health Advantage
Hawaii,"Beneficiaries can simultaneously enroll in Ohana Community Care Service (BHS) and another medical or dental plan under the Quest program. The de-duplicated total enrollment comprehensive MCOs is 360,905.",Hawaii QUEST Integration (Comprehensive MCO + MLTSS),UnitedHealthcare Community Plan QUEST,Statewide,26094,27,26121,2017,"Hawaii
(21.361013, -157.854309)",UnitedHealthcare Inc.
Oregon,"Oregon Health Plan includes (1) Coordinated Care Organizations (CCOs); (2) Dental Care Organizations (DCOs), like Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Managed Dental Care or Oregon; and ODS Community Health, Inc., or (3) the Mental Health Organization called Greater Oregon Behavioral Health, Inc. CCO enrollees receive physical, dental and mental health services and may be enrolled in more than one plan type simultaneously.",Oregon Health Plan (OHP) (Comprehensive MCO),PacificSource Community Solutions - Columbia Gorge,Hood River and Wasco Counties,12028,333,12361,2017,"Oregon
(43.940449, -120.605279)",PacificSource Community Solutions  - Columbia Gorge
